day,hour_of_day,outdoor_temp_c,setpoint_c,humidity_pct,occupancy,refrigerant,load_kw,dew_point_c,evap_temp_c,frost_limited,cond_temp_c,critical_point_exceeded,cop,compressor_work_kwh
3,23,25.11,22.4,38.2,2,R32,1.0318,7.45,7.66,False,35.41,False,5.06,0.2039
3,0,24.7,23.3,51.3,1,R32,0.5281,12.68,15.76,False,29.65,False,8.0,0.066
3,1,23.49,24.3,39.3,1,R32,0.15,9.57,22.16,False,24.89,False,8.0,0.0187
3,2,22.76,23.4,55.1,1,R32,0.15,13.87,21.26,False,24.17,False,8.0,0.0187
3,3,22.27,25.9,53.2,2,R32,0.3,15.64,21.61,False,25.08,False,8.0,0.0375
3,4,22.86,22.8,57.6,1,R32,0.1649,14.0,20.44,False,24.4,False,8.0,0.0206
3,5,21.87,22.0,53.2,2,R32,0.3,12.03,17.71,False,24.68,False,8.0,0.0375
4,22,25.11,23.0,55.7,2,R32,0.8684,13.66,10.59,False,33.51,False,6.191,0.1403
4,23,26.53,22.9,52.1,1,R32,1.1297,12.55,6.76,False,38.05,False,4.474,0.2525
4,0,23.67,22.4,59.1,4,R32,0.9429,14.02,8.93,False,32.86,False,5.894,0.16
4,1,23.22,21.9,57.0,4,R32,0.9553,12.99,8.25,False,32.55,False,5.791,0.165
4,2,23.2,21.6,71.8,2,R32,0.7308,16.29,11.16,False,30.1,False,7.507,0.0973
4,3,21.71,24.8,50.3,4,R32,0.6,13.76,16.23,False,27.33,False,8.0,0.075
4,4,22.42,24.4,75.5,3,R32,0.45,19.79,17.97,False,26.64,False,8.0,0.0562
4,5,23.74,24.3,62.3,4,R32,0.6,16.63,15.73,False,29.37,False,8.0,0.075
5,22,25.76,23.7,44.0,2,R32,0.8552,10.72,11.48,False,34.01,False,6.317,0.1354
5,23,26.12,23.7,66.1,1,R32,0.8028,16.99,12.23,False,33.82,False,6.61,0.1215
5,0,23.94,23.8,67.5,1,R32,0.1873,17.42,21.12,False,25.69,False,8.0,0.0234
5,1,23.67,20.4,56.4,1,R32,1.0338,11.43,5.63,False,34.04,False,4.906,0.2107
5,2,23.01,24.2,40.2,4,R32,0.6,9.82,15.63,False,28.64,False,8.0,0.075
5,3,21.9,23.2,56.3,2,R32,0.3,14.02,18.91,False,24.71,False,8.0,0.0375
5,4,23.23,24.8,57.7,3,R32,0.45,15.89,18.37,False,27.45,False,8.0,0.0562
5,5,23.87,23.9,53.0,1,R32,0.15,13.74,21.76,False,25.27,False,8.0,0.0187
6,22,27.65,23.7,40.7,1,R32,1.2165,9.55,6.32,False,40.25,False,4.118,0.2954
6,23,25.72,23.0,50.4,4,R32,1.3341,12.14,3.94,False,39.71,False,3.874,0.3444
6,0,24.75,24.9,60.1,1,R32,0.15,16.63,22.76,False,26.16,False,8.0,0.0187
6,1,24.06,24.0,91.7,2,R32,0.3159,22.56,19.49,False,27.02,False,8.0,0.0395
6,2,22.46,21.8,54.1,2,R32,0.4786,12.1,14.96,False,26.95,False,8.0,0.0598
6,3,23.03,22.8,65.5,1,R32,0.212,15.99,19.77,False,25.02,False,8.0,0.0265
6,4,24.64,23.1,38.1,1,R32,0.5647,8.04,15.03,False,29.93,False,8.0,0.0706
6,5,23.47,26.0,54.6,4,R32,0.6,16.14,17.43,False,29.1,False,8.0,0.075
7,22,26.03,23.7,52.3,1,R32,0.7778,13.35,12.59,False,33.45,False,6.848,0.1136
7,23,25.89,22.8,59.1,2,R32,1.1343,14.39,6.6,False,37.43,False,4.537,0.25
7,0,24.15,24.2,67.5,4,R32,0.6,17.8,15.63,False,29.78,False,8.0,0.075
7,1,23.43,20.0,51.8,2,R32,1.2251,9.78,2.5,False,36.13,False,4.099,0.2989
7,2,23.24,23.6,44.4,4,R32,0.6,10.77,15.03,False,28.86,False,8.0,0.075
7,3,23.05,21.3,71.7,3,R32,0.9236,15.98,8.11,False,32.06,False,5.871,0.1573
7,4,23.77,23.1,65.5,3,R32,0.63,16.28,14.1,False,29.67,False,8.0,0.0787
7,5,24.27,23.7,76.3,2,R32,0.4542,19.28,17.21,False,28.53,False,8.0,0.0568
8,22,27.11,23.8,61.2,1,R32,1.0446,15.88,8.88,False,37.59,False,4.911,0.2127
8,23,27.91,22.2,53.5,3,R32,1.9917,12.3,12.3,True,48.74,False,3.917,0.5085
8,0,23.87,20.7,57.0,2,R32,1.1562,11.87,4.18,False,35.7,False,4.4,0.2628
8,1,23.25,21.6,49.5,2,R32,0.7467,10.58,10.93,False,30.33,False,7.324,0.102
8,2,23.68,20.6,49.3,4,R32,1.4317,9.6,0.15,False,39.0,False,3.517,0.4071
8,3,23.75,24.4,48.9,4,R32,0.6,12.96,15.83,False,29.38,False,8.0,0.075
8,4,23.6,21.1,83.7,3,R32,1.1246,18.23,5.03,False,34.99,False,4.644,0.2422
8,5,24.87,22.8,49.2,3,R32,1.01,11.59,8.37,False,34.88,False,5.311,0.1902
9,22,26.46,22.8,61.1,1,R32,1.1395,14.91,6.52,False,38.11,False,4.427,0.2574
9,23,26.25,20.7,50.9,2,R32,1.7996,10.17,10.17,True,44.93,False,4.075,0.4416
9,0,25.27,24.9,59.5,2,R32,0.3989,16.47,19.2,False,29.01,False,8.0,0.0499
9,1,24.9,21.2,57.7,2,R32,1.2977,12.53,2.66,False,38.52,False,3.846,0.3374
9,2,23.67,24.2,43.9,4,R32,0.6,11.14,15.63,False,29.3,False,8.0,0.075
9,3,23.2,22.2,68.2,2,R32,0.5697,16.06,14.06,False,28.54,False,8.0,0.0712
9,4,22.21,21.0,73.5,2,R32,0.6261,16.08,12.06,False,28.08,False,8.0,0.0783
9,5,24.7,23.0,64.1,4,R32,1.0585,15.85,7.88,False,35.24,False,5.136,0.2061
10,22,26.49,23.7,57.4,1,R32,0.9026,14.78,10.81,False,35.31,False,5.795,0.1558
10,23,25.51,23.5,66.1,4,R32,1.1428,16.8,7.17,False,37.06,False,4.689,0.2437
10,0,23.7,24.9,47.6,3,R32,0.45,13.0,18.47,False,27.92,False,8.0,0.0562
10,1,25.31,23.7,68.6,1,R32,0.5839,17.58,15.36,False,30.78,False,8.0,0.073
10,2,23.71,22.1,52.5,2,R32,0.7345,11.93,11.61,False,30.65,False,7.477,0.0982
10,3,23.07,21.3,70.4,3,R32,0.9291,15.69,8.03,False,32.15,False,5.829,0.1594
10,4,23.17,22.5,66.4,1,R32,0.3302,15.92,17.78,False,26.26,False,8.0,0.0413
10,5,24.91,22.9,48.9,1,R32,0.6932,11.58,13.0,False,31.43,False,7.761,0.0893
11,22,26.71,22.2,64.0,1,R32,1.3689,15.06,2.64,False,41.32,False,3.565,0.3839
11,23,26.37,22.1,59.6,1,R32,1.3034,13.87,3.48,False,40.11,False,3.776,0.3452
11,0,24.57,24.7,73.6,1,R32,0.15,19.66,22.56,False,25.98,False,8.0,0.0187
11,1,23.91,22.1,38.9,1,R32,0.6392,7.45,12.97,False,29.9,False,8.0,0.0799
11,2,24.46,23.0,63.2,1,R32,0.5441,15.62,15.23,False,29.56,False,8.0,0.068
11,3,23.32,22.4,66.8,4,R32,0.8483,15.92,10.28,False,31.44,False,6.696,0.1267
11,4,24.82,24.6,33.5,1,R32,0.2104,7.47,21.59,False,26.8,False,8.0,0.0263
11,5,23.91,20.8,58.2,1,R32,0.9891,12.28,6.67,False,33.74,False,5.168,0.1914
12,22,27.72,23.9,54.9,3,R32,1.4817,14.28,2.73,False,43.74,False,3.364,0.4405
12,23,25.6,23.5,75.1,3,R32,1.0177,18.83,8.96,False,35.69,False,5.277,0.1928
12,0,25.47,25.0,49.8,2,R32,0.4279,13.79,18.89,False,29.48,False,8.0,0.0535
12,1,24.43,20.6,55.9,4,R32,1.6349,11.48,11.48,True,40.87,False,4.843,0.3376
12,2,22.94,20.9,46.4,1,R32,0.7014,8.97,10.88,False,29.56,False,7.604,0.0922
12,3,23.51,25.2,44.4,2,R32,0.3,12.21,20.91,False,26.33,False,8.0,0.0375
12,4,23.63,23.0,46.8,4,R32,0.77,11.01,12.0,False,30.9,False,7.544,0.1021
12,5,24.28,24.0,61.4,3,R32,0.5261,16.12,16.48,False,29.21,False,8.0,0.0658
13,22,27.79,25.3,53.7,1,R32,0.8231,15.23,13.54,False,35.71,False,6.465,0.1273
13,23,26.52,23.1,44.9,1,R32,1.0724,10.48,7.78,False,37.33,False,4.753,0.2256
13,0,25.28,24.5,60.7,2,R32,0.511,16.41,17.2,False,30.07,False,8.0,0.0639
13,1,24.48,22.3,48.3,3,R32,1.038,10.85,7.47,False,34.81,False,5.132,0.2023
13,2,25.24,21.8,65.5,1,R32,1.0782,15.04,6.4,False,36.13,False,4.7,0.2294
13,3,23.89,22.8,47.8,4,R32,0.8931,11.15,10.04,False,32.51,False,6.303,0.1417
13,4,23.07,24.2,53.1,2,R32,0.3,14.04,19.91,False,25.89,False,8.0,0.0375
13,5,23.63,21.9,44.5,1,R32,0.6177,9.26,13.08,False,29.42,False,8.0,0.0772
14,22,27.82,25.8,66.4,4,R32,1.1455,19.06,9.44,False,39.39,False,4.717,0.2428
14,23,26.06,22.0,50.2,3,R32,1.5471,11.15,11.15,True,41.73,False,4.65,0.3327
14,0,25.82,25.2,63.4,2,R32,0.4671,17.75,18.53,False,30.2,False,8.0,0.0584
14,1,24.5,21.2,57.3,4,R32,1.491,12.42,12.42,True,39.26,False,5.32,0.2803
14,2,24.79,22.3,34.4,2,R32,0.9716,5.84,8.42,False,34.38,False,5.424,0.1791
14,3,24.72,23.4,69.8,1,R32,0.5069,17.57,16.16,False,29.47,False,8.0,0.0634
14,4,22.61,21.6,53.7,2,R32,0.5723,11.81,13.42,False,27.97,False,8.0,0.0715
14,5,24.55,23.5,77.9,1,R32,0.4324,19.42,17.32,False,28.6,False,8.0,0.0541
15,22,27.75,23.1,49.6,2,R32,1.556,11.98,0.87,False,44.88,False,3.113,0.4998
15,23,26.92,22.0,45.7,1,R32,1.4775,9.75,0.89,False,43.01,False,3.253,0.4542
15,0,24.69,23.8,67.7,4,R32,0.8393,17.47,11.81,False,32.71,False,6.819,0.1231
15,1,25.64,20.0,51.8,3,R32,1.9721,9.78,9.78,True,46.32,False,3.872,0.5093
15,2,24.92,23.1,79.7,2,R32,0.7916,19.4,11.79,False,32.48,False,6.888,0.1149
15,3,25.1,23.6,71.1,3,R32,0.8539,18.05,11.4,False,33.31,False,6.495,0.1315
15,4,25.11,24.3,49.8,4,R32,0.8178,13.15,12.62,False,32.89,False,7.049,0.116
15,5,24.51,23.1,57.9,2,R32,0.68,14.36,13.39,False,30.88,False,8.0,0.085
16,22,27.17,20.0,51.8,2,R32,2.2363,9.78,9.78,True,51.27,False,3.41,0.6559
16,23,27.11,24.3,53.8,2,R32,1.0577,14.34,9.19,False,37.7,False,4.952,0.2136
16,0,26.23,23.5,54.8,4,R32,1.3368,13.88,4.4,False,40.25,False,3.872,0.3453
16,1,25.32,20.7,69.5,2,R32,1.5483,14.92,14.92,True,40.52,False,5.626,0.2752
16,2,23.56,24.0,59.4,4,R32,0.6,15.6,15.43,False,29.19,False,8.0,0.075
16,3,23.61,21.9,75.1,4,R32,1.0622,17.29,6.73,False,34.2,False,5.093,0.2085
16,4,25.58,22.5,49.6,3,R32,1.2814,11.43,4.19,False,38.93,False,3.992,0.321
16,5,24.56,22.2,67.5,2,R32,0.9372,15.89,8.81,False,33.75,False,5.652,0.1658
17,22,27.95,21.4,48.4,2,R32,2.0684,10.06,10.06,True,50.05,False,3.54,0.5843
17,23,26.09,21.2,41.1,2,R32,1.6201,7.45,7.45,True,43.01,False,3.946,0.4106
17,0,26.08,24.8,65.2,1,R32,0.4959,17.82,17.72,False,30.73,False,8.0,0.062
17,1,24.61,23.3,55.4,3,R32,0.8025,13.86,11.84,False,32.25,False,6.98,0.115
17,2,24.31,20.0,36.8,4,R32,1.7646,4.78,4.78,True,43.07,False,3.629,0.4862
17,3,25.13,22.6,56.5,3,R32,1.1326,13.51,6.42,False,36.6,False,4.631,0.2445
17,4,24.99,21.5,55.3,3,R32,1.392,12.16,1.61,False,39.82,False,3.596,0.3871
17,5,25.56,21.2,35.1,4,R32,1.7769,5.16,5.16,True,44.56,False,3.532,0.5031
18,22,27.69,20.9,47.2,4,R32,2.4337,9.22,9.22,True,54.47,False,3.12,0.78
18,23,26.29,21.9,40.7,1,R32,1.3354,7.94,2.82,False,40.45,False,3.667,0.3642
18,0,26.54,24.0,44.5,3,R32,1.135,11.16,7.79,False,38.03,False,4.644,0.2444
18,1,25.11,23.6,74.8,4,R32,1.007,18.86,9.21,False,35.03,False,5.468,0.1841
18,2,23.99,22.7,44.5,2,R32,0.6476,9.98,13.45,False,30.06,False,8.0,0.0809
18,3,23.61,20.9,62.1,3,R32,1.1816,13.37,4.02,False,35.71,False,4.373,0.2702
18,4,24.63,23.2,50.7,2,R32,0.6851,12.41,13.41,False,31.05,False,8.0,0.0856
18,5,24.97,22.7,27.7,2,R32,0.9119,3.09,9.67,False,33.86,False,5.846,0.156
19,22,27.92,21.7,55.6,4,R32,2.2796,12.43,12.43,True,52.21,False,3.589,0.6351
19,23,26.57,23.3,65.9,3,R32,1.3333,16.56,4.25,False,40.59,False,3.817,0.3493
19,0,26.18,23.4,46.3,3,R32,1.1998,11.22,6.26,False,38.48,False,4.336,0.2767
19,1,24.92,23.8,65.0,3,R32,0.7525,16.82,13.05,False,32.02,False,7.542,0.0998
19,2,23.74,23.8,47.0,2,R32,0.3,11.81,19.51,False,26.55,False,8.0,0.0375
19,3,24.91,21.6,62.7,4,R32,1.4944,14.18,0.25,False,41.09,False,3.348,0.4464
19,4,24.47,22.5,36.7,1,R32,0.6806,6.96,12.78,False,30.85,False,7.908,0.0861
19,5,25.72,24.1,55.1,1,R32,0.587,14.52,15.71,False,31.22,False,8.0,0.0734
20,22,28.01,23.1,44.7,3,R32,1.777,10.41,10.41,True,46.6,False,3.918,0.4536
20,23,26.97,20.9,57.8,4,R32,2.2388,12.27,12.27,True,50.64,False,3.719,0.6019
20,0,25.8,24.1,68.3,3,R32,0.9099,17.89,11.1,False,34.64,False,6.037,0.1507
20,1,25.83,26.0,47.7,3,R32,0.45,14.04,19.57,False,30.05,False,8.0,0.0562
20,2,25.22,22.7,59.5,1,R32,0.8295,14.4,10.85,False,33.22,False,6.348,0.1307
20,3,24.34,22.2,40.1,1,R32,0.7272,7.99,11.81,False,31.22,False,7.34,0.0991
20,4,25.16,25.4,53.6,1,R32,0.15,15.3,23.26,False,26.57,False,8.0,0.0187
20,5,25.44,24.1,62.7,3,R32,0.8113,16.54,12.51,False,33.18,False,6.911,0.1174
21,22,28.77,22.4,58.5,4,R32,2.3204,13.86,13.86,True,53.44,False,3.625,0.64
21,23,28.57,24.2,34.5,2,R32,1.4812,7.55,3.04,False,44.64,False,3.32,0.4461
21,0,26.14,25.0,46.9,2,R32,0.6088,12.87,16.3,False,31.85,False,8.0,0.0761
21,1,24.16,20.0,73.1,1,R32,1.2735,15.03,1.81,False,37.53,False,3.848,0.3309
21,2,25.2,22.7,65.0,4,R32,1.2739,15.78,4.5,False,38.4,False,4.095,0.3111
21,3,23.5,23.4,36.6,2,R32,0.3277,7.71,18.72,False,26.58,False,8.0,0.041
21,4,25.1,23.9,44.5,3,R32,0.7737,11.07,12.85,False,32.43,False,7.302,0.106
21,5,25.26,23.0,67.7,2,R32,0.9099,16.7,10.0,False,34.13,False,5.866,0.1551
22,22,28.77,23.4,49.5,1,R32,1.6007,12.23,0.53,False,46.6,False,2.97,0.5389
22,23,26.95,22.3,59.7,4,R32,1.8549,14.08,14.08,True,45.82,False,4.524,0.41
22,0,27.33,23.6,50.8,2,R32,1.3066,12.81,4.93,False,41.04,False,3.851,0.3393
22,1,26.13,20.0,63.1,1,R32,1.8038,12.76,12.76,True,44.49,False,4.505,0.4004
22,2,24.97,21.5,49.7,3,R32,1.3859,10.54,1.7,False,39.71,False,3.616,0.3833
22,3,25.18,25.1,49.3,3,R32,0.4727,13.73,18.35,False,29.62,False,8.0,0.0591
22,4,25.96,24.5,35.4,1,R32,0.5441,8.2,16.73,False,31.06,False,8.0,0.068
22,5,25.8,21.2,46.8,3,R32,1.691,9.37,9.37,True,43.27,False,4.167,0.4058
23,22,29.18,22.9,58.4,2,R32,1.9966,14.3,14.3,True,49.95,False,4.032,0.4952
23,23,26.91,22.6,49.7,4,R32,1.7637,11.56,11.56,True,45.07,False,4.248,0.4152
23,0,27.62,23.9,57.6,2,R32,1.3041,15.02,5.27,False,41.3,False,3.864,0.3375
23,1,26.02,22.1,70.6,1,R32,1.2085,16.5,4.84,False,38.53,False,4.125,0.293
23,2,26.21,22.2,43.1,1,R32,1.2331,9.05,4.58,False,39.04,False,4.031,0.3059
23,3,25.01,22.4,49.9,3,R32,1.1547,11.43,5.9,False,36.76,False,4.522,0.2553
23,4,26.78,23.8,47.9,1,R32,0.9543,12.1,10.17,False,36.19,False,5.443,0.1753
23,5,25.68,23.9,47.4,2,R32,0.7793,12.03,12.77,False,33.09,False,7.034,0.1108
24,22,28.31,20.5,64.9,2,R32,2.4088,13.67,13.67,True,54.03,False,3.553,0.678
24,23,27.76,20.7,21.6,3,R32,2.3551,-2.05,1.0,True,55.13,False,2.532,0.93
24,0,25.77,22.6,41.5,4,R32,1.4572,8.85,1.78,False,41.42,False,3.468,0.4201
24,1,25.79,21.2,58.3,1,R32,1.3899,12.68,1.34,False,40.7,False,3.488,0.3985
24,2,25.24,24.0,77.2,4,R32,0.9358,19.76,10.63,False,34.35,False,5.983,0.1564
24,3,25.89,23.1,37.2,1,R32,0.9027,7.69,10.2,False,34.71,False,5.781,0.1562
24,4,24.9,22.8,55.0,1,R32,0.7178,13.28,12.55,False,31.69,False,7.464,0.0962
24,5,25.98,21.7,35.7,3,R32,1.6047,5.85,5.85,True,42.9,False,3.765,0.4263
25,22,29.16,22.8,48.1,1,R32,1.8678,11.24,11.24,True,48.84,False,3.782,0.4939
25,23,27.51,24.6,50.3,3,R32,1.2355,13.58,6.95,False,40.25,False,4.205,0.2938
25,0,27.64,20.0,30.1,2,R32,2.3615,1.93,1.93,True,54.89,False,2.597,0.9094
25,1,25.26,22.5,57.9,4,R32,1.346,13.79,3.27,False,39.41,False,3.824,0.352
25,2,24.66,21.8,41.7,3,R32,1.2231,8.21,4.33,False,37.28,False,4.211,0.2905
25,3,26.39,22.6,67.3,1,R32,1.173,16.23,5.84,False,38.45,False,4.278,0.2742
25,4,25.09,21.9,56.2,3,R32,1.31,12.78,3.19,False,38.82,False,3.878,0.3378
25,5,25.93,23.2,66.7,4,R32,1.3369,16.66,4.1,False,39.95,False,3.867,0.3457
26,22,29.02,22.4,63.5,3,R32,2.2385,15.13,15.13,True,52.52,False,3.856,0.5806
26,23,28.23,22.6,42.3,3,R32,1.9698,9.14,9.14,True,49.32,False,3.513,0.5607
26,0,25.92,25.6,40.1,2,R32,0.3877,11.03,20.06,False,29.56,False,8.0,0.0485
26,1,25.64,22.5,53.8,4,R32,1.4484,12.67,1.81,False,41.17,False,3.493,0.4147
26,2,24.86,25.6,30.0,4,R32,0.6,6.73,17.03,False,30.49,False,8.0,0.075
26,3,26.48,22.5,58.1,2,R32,1.3746,13.85,2.86,False,41.11,False,3.608,0.381
26,4,26.22,23.0,51.0,3,R32,1.3182,12.32,4.17,False,40.04,False,3.865,0.3411
26,5,26.94,25.6,56.1,2,R32,0.6617,16.2,16.15,False,33.14,False,8.0,0.0827
27,22,28.48,24.1,57.1,4,R32,1.7834,15.07,15.07,True,46.59,False,4.572,0.3901
27,23,27.98,24.7,68.8,2,R32,1.1844,18.58,7.78,False,40.12,False,4.344,0.2727
27,0,26.07,23.8,79.1,2,R32,0.9136,19.96,10.75,False,34.99,False,5.857,0.156
27,1,26.69,22.2,58.8,2,R32,1.5113,13.75,0.61,False,43.2,False,3.214,0.4702
27,2,25.91,24.5,75.0,3,R32,0.8307,19.78,12.63,False,33.86,False,6.732,0.1234
27,3,26.19,24.8,58.1,1,R32,0.5265,16.0,17.28,False,31.13,False,8.0,0.0658
27,4,25.99,20.0,50.8,4,R32,2.2163,9.49,9.49,True,49.71,False,3.514,0.6308
27,5,26.37,22.7,69.5,4,R32,1.5922,16.83,16.83,True,41.94,False,5.774,0.2757
28,22,28.83,24.6,43.6,3,R32,1.5918,11.4,1.86,False,46.39,False,3.088,0.5155
28,23,29.79,20.4,53.5,3,R32,2.9847,10.64,10.64,True,64.02,False,2.658,1.1229
28,0,27.54,20.7,54.9,1,R32,1.9961,11.3,11.3,True,48.52,False,3.821,0.5224
28,1,25.98,23.6,42.4,2,R32,0.9434,10.07,10.12,False,35.24,False,5.639,0.1673
28,2,25.86,25.7,47.5,3,R32,0.4926,13.7,18.66,False,30.48,False,8.0,0.0616
28,3,26.8,24.5,47.9,1,R32,0.7699,12.73,13.5,False,34.14,False,6.946,0.1108
28,4,25.09,22.7,67.8,4,R32,1.2445,16.44,4.92,False,37.92,False,4.213,0.2954
28,5,26.45,24.9,63.3,1,R32,0.5685,17.45,16.78,False,31.78,False,8.0,0.0711
29,22,30.04,23.7,54.2,3,R32,2.1608,13.89,13.89,True,52.94,False,3.676,0.5878
29,23,27.33,22.6,56.5,2,R32,1.578,13.51,0.06,False,44.79,False,3.054,0.5167
29,0,27.79,23.2,60.4,2,R32,1.5381,15.11,1.23,False,44.66,False,3.159,0.4869
29,1,26.37,25.0,50.7,3,R32,0.8204,14.07,13.28,False,34.21,False,6.844,0.1199
29,2,26.02,23.0,66.3,1,R32,0.9647,16.37,9.22,False,35.56,False,5.361,0.1799
29,3,25.52,21.1,72.0,4,R32,1.7935,15.85,15.85,True,43.31,False,5.264,0.3407
29,4,25.37,24.9,51.9,3,R32,0.5782,14.34,16.64,False,30.8,False,8.0,0.0723
29,5,26.58,23.3,71.7,2,R32,1.1858,17.9,6.36,False,38.75,False,4.314,0.2748
30,22,30.28,20.8,58.2,2,R32,2.8583,12.28,12.28,True,62.47,False,2.844,1.0052
30,23,28.98,21.4,26.5,2,R32,2.3477,1.35,1.35,True,56.39,False,2.494,0.9415
30,0,27.84,23.1,69.7,1,R32,1.4305,17.26,2.66,False,43.27,False,3.396,0.4213
30,1,26.21,23.0,48.3,4,R32,1.4667,11.49,2.05,False,41.98,False,3.446,0.4257
30,2,25.85,25.2,74.0,2,R32,0.4764,20.23,18.39,False,30.32,False,8.0,0.0595
30,3,25.64,23.0,53.4,4,R32,1.3119,13.02,4.26,False,39.33,False,3.955,0.3317
30,4,25.52,21.4,31.8,4,R32,1.7116,3.92,3.92,True,43.9,False,3.466,0.4938
30,5,25.9,22.0,64.6,4,R32,1.6518,15.02,15.02,True,42.26,False,5.289,0.3123
31,22,30.37,22.7,54.4,1,R32,2.2198,13.02,13.02,True,54.19,False,3.476,0.6386
31,23,28.97,22.8,47.1,1,R32,1.817,10.93,10.93,True,48.08,False,3.823,0.4752
31,0,28.23,25.4,36.2,2,R32,1.0652,9.32,10.18,False,38.91,False,4.931,0.216
31,1,26.78,22.4,53.8,2,R32,1.4836,12.58,1.21,False,42.9,False,3.29,0.451
31,2,25.86,24.8,72.0,2,R32,0.5855,19.41,16.44,False,31.35,False,8.0,0.0732
31,3,25.73,26.0,47.0,1,R32,0.15,13.81,23.86,False,27.13,False,8.0,0.0187
31,4,27.65,24.4,44.9,1,R32,1.0286,11.66,9.71,False,37.94,False,5.01,0.2053
31,5,26.84,20.8,46.4,1,R32,1.7803,8.88,8.88,True,45.53,False,3.847,0.4627
32,22,30.06,23.5,62.9,3,R32,2.2225,16.02,16.02,True,53.37,False,3.871,0.5741
32,23,29.89,21.6,44.8,2,R32,2.5392,9.09,9.09,True,58.46,False,2.858,0.8884
32,0,28.18,21.6,44.9,4,R32,2.3772,9.12,9.12,True,54.34,False,3.121,0.7617
32,1,26.85,23.1,67.4,3,R32,1.4631,16.73,2.2,False,42.62,False,3.406,0.4296
32,2,26.06,24.6,63.2,1,R32,0.5453,17.14,16.81,False,31.18,False,8.0,0.0682
32,3,27.3,23.2,75.8,4,R32,1.7057,18.69,18.69,True,43.97,False,5.772,0.2955
32,4,26.92,23.6,59.9,3,R32,1.3457,15.35,4.38,False,41.1,False,3.778,0.3562
32,5,27.29,23.5,47.4,4,R32,1.6223,11.66,0.32,False,45.25,False,3.044,0.533
33,22,29.91,23.2,69.5,3,R32,2.2616,17.31,17.31,True,53.45,False,4.019,0.5627
33,23,28.31,21.8,65.3,2,R32,2.0587,15.0,15.0,True,49.59,False,4.165,0.4943
33,0,28.26,20.8,55.3,3,R32,2.464,11.51,11.51,True,55.08,False,3.267,0.7543
33,1,27.03,22.7,57.3,3,R32,1.6185,13.82,13.82,True,43.29,False,4.87,0.3324
33,2,26.62,25.4,53.9,4,R32,0.9305,15.39,12.11,False,35.66,False,6.056,0.1536
33,3,26.47,23.8,46.6,2,R32,1.0213,11.68,9.21,False,36.64,False,5.148,0.1984
33,4,26.58,23.6,52.8,1,R32,0.9545,13.4,9.96,False,36.0,False,5.438,0.1755
33,5,26.73,24.1,66.7,2,R32,1.0104,17.52,9.67,False,36.76,False,5.218,0.1936
